,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка,category
31,"""Учимся вырезать!"". Рабочая тетрадь KUMON",5720234,20,778,622,"Издательство Манн, Иванов и Фербер",4508,147,5,https://www.wildberries.ru/catalog/5720234/detail.aspx?targetUrl=BP,Детское творчество и досуг
32,Говорящая музыкальная книга Нажималка Животные,63059593,50,4898,2449,BertToys,38694,694,5,https://www.wildberries.ru/catalog/63059593/detail.aspx?targetUrl=BP,Детское творчество и досуг
33,"Книга ""Скорочтение для детей 10 - 16 л.""",11886210,81,4674,888,Филипок и Ко,51143,1195,5,https://www.wildberries.ru/catalog/11886210/detail.aspx?targetUrl=BP,Детское творчество и досуг
34,Набор детских книг для обучения чтению по слогам,90615634,72,2196,614,БУКВА ЛЕНД,26919,51,5,https://www.wildberries.ru/catalog/90615634/detail.aspx?targetUrl=BP,Детское творчество и досуг
35,Набор книги для детей малышей годовой курс занятий 5+,4355470,67,5410,1785,ШКОЛА СЕМИ ГНОМОВ,25758,269,5,https://www.wildberries.ru/catalog/4355470/detail.aspx?targetUrl=BP,Детское творчество и досуг
36,Моя первая книга. Энциклопедия для малышей от 6 месяцев,7105596,65,1905,666,Владис,5662,715,5,https://www.wildberries.ru/catalog/7105596/detail.aspx?targetUrl=BP,Детское творчество и досуг
37,"Настольная игра ""Читай-хватай English""",10533607,89,8454,929,Банда Умников,8804,68,5,https://www.wildberries.ru/catalog/10533607/detail.aspx?targetUrl=BP,Детское творчество и досуг
38,Открой тайны. Как все работает. От 3 лет. Книга с окошками,6125401,70,3100,930,Издательство Робинс,8383,241,5,https://www.wildberries.ru/catalog/6125401/detail.aspx?targetUrl=BP,Детское творчество и досуг
39,Каллиграфические прописи. Комплект,48827497,53,1590,747,Станюк Т.Ю.,231422,109,5,https://www.wildberries.ru/catalog/48827497/detail.aspx?targetUrl=BP,Детское творчество и досуг
40,Развивающие логопедические пластиковые карточки для детей,29715619,69,4799,1487,Igrulex,291570,230,5,https://www.wildberries.ru/catalog/29715619/detail.aspx?targetUrl=BP,Детское творчество и досуг
41,Книга 100 окошек. Открывай-ка Вульф Тони,140005866,75,5980,1495,Эксмодетство,86175,9,5,https://www.wildberries.ru/catalog/140005866/detail.aspx?targetUrl=BP,Детское творчество и досуг
